what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379995315386
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379995325967
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.navigate.open.type",1379995325971
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379995328521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379995329652
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379995329796
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1379995330245
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1379995330245
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1379995330355
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110819-0851,"org.eclipse.pde.runtime",1379995330365
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1379995330470
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110516,"org.eclipse.pde.ui.templates",1379995330596
stopped,bundle,org.eclipse.wb.rcp.GroupLayout,1.2.0.r37x201109270449,"org.eclipse.wb.rcp.GroupLayout",1379995330596
stopped,bundle,org.eclipse.wb.rcp.SWT_AWT,1.2.0.r37x201109270453,"org.eclipse.wb.rcp.SWT_AWT",1379995330596
stopped,bundle,org.eclipse.wb.rcp.databinding.emf,1.2.0.r37x201109270442,"org.eclipse.wb.rcp.databinding.emf",1379995330655
stopped,bundle,org.eclipse.wb.rcp.databinding.xwt,1.2.0.r37x201109270457,"org.eclipse.wb.rcp.databinding.xwt",1379995330688
stopped,bundle,org.eclipse.wb.rcp.databinding,1.2.0.r37x201109270442,"org.eclipse.wb.rcp.databinding",1379995330951
stopped,bundle,org.eclipse.wb.rcp.nebula,1.2.0.r37x201109270442,"org.eclipse.wb.rcp.nebula",1379995331103
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1380100727259
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1380100727260
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1380100727344
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1380100727345
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1380100727384
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1380100727443
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1380100727444
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1380100727523
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1380100727552
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1380100727560
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1380100727591
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1380100727600
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1380100727615
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1380100727675
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1380100727685
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1380100727686
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1380100727689
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1380100727712
